item_id,item_name,price,margin,entry_date,stock,vendor,type
72,Body Scrub,3.00,1.00,2023-10-01,60,PersonalCareSupplier,Personal Care
73,Face Scrub,2.00,0.70,2023-10-01,100,PersonalCareSupplier,Personal Care
74,Hand Towel,1.00,0.35,2023-10-01,200,HouseholdSupplier,Household
75,Bath Towel,2.00,0.70,2023-10-01,150,HouseholdSupplier,Household
76,Wash Cloth,1.50,0.50,2023-10-01,100,HouseholdSupplier,Household
77,Bath Mat,3.00,1.00,2023-10-01,80,HouseholdSupplier,Household
78,Shower Curtain,4.00,1.50,2023-10-01,60,HouseholdSupplier,Household
79,Toilet Paper,0.80,0.30,2023-10-01,300,HouseholdSupplier,Household
80,Paper Towel,1.50,0.50,2023-10-01,200,HouseholdSupplier,Household
81,Trash Bag,3.00,1.00,2023-10-01,100,HouseholdSupplier,Household
82,Aluminum Foil,2.50,0.90,2023-10-01,80,HouseholdSupplier,Household
83,Plastic Wrap,3.00,1.00,2023-10-01,60,HouseholdSupplier,Household
84,Wax Paper,2.00,0.70,2023-10-01,100,HouseholdSupplier,Household
85,Parchment Paper,3.50,1.20,2023-10-01,90,HouseholdSupplier,Household
86,Freezer Bag,2.00,0.70,2023-10-01,80,HouseholdSupplier,Household
87,Storage Bag,3.00,1.00,2023-10-01,60,HouseholdSupplier,Household
88,Snack Bag,1.50,0.50,2023-10-01,100,HouseholdSupplier,Household
89,Sandwich Bag,1.00,0.30,2023-10-01,150,HouseholdSupplier,Household
90,Vacuum Bag,3.00,1.00,2023-10-01,80,HouseholdSupplier,Household
91,Compost Bag,2.50,0.90,2023-10-01,60,HouseholdSupplier,Household
92,Green Tea,5.00,1.50,2023-10-01,80,BeverageSupplier,Beverage
93,Protein Shake,3.50,1.20,2023-10-01,150,HealthDrinkSupplier,Health Drink
94,Energy Bar,1.50,0.50,2023-10-01,200,HealthSnackSupplier,Health Snack
95,Multivitamin,5.00,2.00,2023-10-01,50,HealthSupplementSupplier,Health Supplement
96,Shampoo,4.00,1.50,2023-10-01,80,GeneralUseSupplier,General Use
97,Toothpaste,2.00,0.70,2023-10-01,60,GeneralUseSupplier,General Use
98,Soap,1.00,0.30,2023-10-01,90,GeneralUseSupplier,General Use
99,Hand Sanitizer,3.00,1.00,2023-10-01,40,GeneralUseSupplier,General Use
100,Detergent,2.50,0.80,2023-10-01,70,GeneralUseSupplier,General Use
